country,year,life_expectancy,mortality_rate_per_1000,health_expenditure_pct_gdp,population_millions,infant_mortality_per_1000,physicians_per_10000,region,income_group
Japan,2023,84.5,3.2,10.9,125.1,1.8,26.1,Western Pacific,High
Switzerland,2023,83.8,3.5,11.3,8.8,3.1,44.1,Europe,High
Australia,2023,83.4,3.4,9.4,26.2,2.9,39.2,Western Pacific,High
Germany,2023,81.7,4.2,11.7,83.2,3.0,44.8,Europe,High
Canada,2023,82.3,3.8,10.8,39.6,4.0,27.0,Americas,High
United Kingdom,2023,81.2,4.4,10.2,67.7,3.5,30.3,Europe,High
United States,2023,78.9,5.1,16.6,334.2,5.4,26.1,Americas,High
France,2023,82.5,3.9,11.1,67.5,3.2,33.7,Europe,High
Italy,2023,83.2,4.1,8.7,59.0,2.6,40.3,Europe,High
South Korea,2023,83.7,3.3,8.2,51.7,2.5,25.1,Western Pacific,High
Brazil,2023,76.2,6.3,9.6,215.3,12.4,23.1,Americas,Upper Middle
China,2023,78.2,5.0,5.6,1412.0,5.4,22.3,Western Pacific,Upper Middle
India,2023,70.8,7.3,3.3,1417.2,26.4,7.3,South-East Asia,Lower Middle
Nigeria,2023,55.4,11.9,3.8,218.5,72.2,0.4,Africa,Lower Middle
South Africa,2023,65.3,9.3,8.3,59.4,23.6,7.9,Africa,Upper Middle
Mexico,2023,75.1,5.8,5.4,128.9,11.5,24.0,Americas,Upper Middle
Indonesia,2023,72.3,6.5,2.9,275.5,18.7,6.2,South-East Asia,Upper Middle
Russia,2023,73.2,8.1,5.7,144.2,4.5,40.4,Europe,Upper Middle
Saudi Arabia,2023,77.6,3.5,6.4,36.4,5.2,26.4,Eastern Mediterranean,High
Egypt,2023,72.5,5.7,4.4,104.3,17.1,7.5,Eastern Mediterranean,Lower Middle
Turkey,2023,78.0,5.0,4.3,85.3,8.2,19.4,Europe,Upper Middle
Thailand,2023,77.7,5.5,3.8,71.8,7.1,8.1,South-East Asia,Upper Middle
Germany,2020,81.1,4.6,11.7,83.2,3.1,44.8,Europe,High
Germany,2021,80.9,5.0,12.8,83.2,3.0,44.8,Europe,High
Germany,2022,81.3,4.5,12.0,83.2,3.0,44.8,Europe,High
United States,2020,77.0,6.2,18.8,331.0,5.6,26.1,Americas,High
United States,2021,76.4,6.8,18.3,332.0,5.5,26.1,Americas,High
United States,2022,77.5,5.8,17.3,333.0,5.4,26.1,Americas,High
Japan,2020,84.6,3.1,10.7,126.2,1.8,26.1,Western Pacific,High
Japan,2021,84.5,3.2,10.8,125.7,1.8,26.1,Western Pacific,High
Japan,2022,84.4,3.3,10.9,125.4,1.8,26.1,Western Pacific,High
India,2020,69.7,7.6,3.0,1380.0,28.3,7.0,South-East Asia,Lower Middle
India,2021,67.2,8.5,3.5,1393.0,27.5,7.1,South-East Asia,Lower Middle
India,2022,69.4,7.7,3.3,1407.0,27.0,7.2,South-East Asia,Lower Middle
Brazil,2020,73.1,7.8,10.0,212.6,13.2,23.1,Americas,Upper Middle
Brazil,2021,72.8,8.3,10.5,213.3,12.9,23.1,Americas,Upper Middle
Brazil,2022,75.3,6.9,9.8,214.3,12.6,23.1,Americas,Upper Middle
Nigeria,2020,54.7,12.2,3.6,206.1,74.2,0.4,Africa,Lower Middle
Nigeria,2021,54.9,12.1,3.7,211.4,73.5,0.4,Africa,Lower Middle
Nigeria,2022,55.1,12.0,3.7,215.0,72.8,0.4,Africa,Lower Middle
